survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_normalized,age_standardized
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,0.014151057562208049,-0.5510595194824087
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,0.13913573538264068,0.6119446643175359
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0.015468569817999833,-0.26030847353242254
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,0.10364429745562033,0.3938813798550463
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,0.3938813798550463
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,0.01650950209357577,-0.11493295055742946
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,0.10122885832000206,1.7749488481174804
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,0.04113566043083236,-2.0048147492323394
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,0.021730754366528396,-0.18762071204492597
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,0.058694292654020104,-1.1325616113823809
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,0.03259622914329302,-1.8594392262573463
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,0.051822148727810165,2.0656998940674667
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.015712553569072387,-0.6964350424574017
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,0.06104473451835265,0.6846324258050325
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,0.015330377421392339,-1.1325616113823809
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,0.03122992013728673,1.847636609604977
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,0.05684821399990475,-2.0048147492323394
1,2,male,28.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0.025374310111545468,-0.11493295055742946
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,0.03513366015444757,0.10313033390506016
1,3,female,28.0,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,0.014102260811993537,-0.11493295055742946
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0.050748620223090936,0.3938813798550463
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0.025374310111545468,0.3211936183675498
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,0.015671954672893913,-1.0598738498948845
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,0.06929138530460494,-0.11493295055742946
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,0.04113566043083236,-1.5686881803073602
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,0.06126431989431795,0.6119446643175359
0,3,male,28.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0.014102260811993537,-0.11493295055742946
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,0.5133418122566507,-0.7691228039448983
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,0.01537917417160685,-0.11493295055742946
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0.015411575213749286,-0.11493295055742946
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0.05410739813385612,0.757320187292529
1,1,female,28.0,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,0.2859895551532101,-0.11493295055742946
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0.015126992566498259,-0.11493295055742946
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.020494635090094415,2.647201985967439
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,0.16038672010106003,-0.11493295055742946
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,0.10149724044618187,0.902695710267522
1,3,male,28.0,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,0.014110458666029575,-0.11493295055742946
